,0
0,Alabama
1,Arizona
2,Arkansas
3,Delaware
4,Georgia
5,Illinois
6,Iowa
7,Kansas
8,Kentucky
9,Maine
10,Maryland
11,Massachusetts
12,Minnesota
13,Mississippi
14,Missouri
15,Montana
16,Nebraska
17,New Hampshire
18,New Jersey
19,North Carolina
20,North Dakota
21,Ohio
22,Oklahoma
23,Pennsylvania
24,Rhode Island
25,South Carolina
26,South Dakota
27,Tennessee
28,Vermont
29,Virginia
30,West Virginia
